Prefetch File Name
BRAVE.EXE-3118B3DB.pf
BRAVE.EXE-3118B3E4.pf
BRAVEBROWSERSETUP-BRV010.EXE-209643A2.pf
BRAVEUPDATE.EXE-023AA87E.pf
BRAVEUPDATE.EXE-5C10F0A3.pf
BRAVEUPDATE.EXE-71F336A7.pf
BRAVEUPDATE.EXE-A812CDBE.pf
BRAVEUPDATE.EXE-D27E0B97.pf
