File Name,Full Path,Creation Time,Last Access Time,Last Modification Time
BRAVE.EXE-3118B3DB.pf,C:\Windows\Prefetch\BRAVE.EXE-3118B3DB.pf,2024-11-14 23:43:45,2024-11-15 11:04:53,2024-11-15 11:04:53
BRAVE.EXE-3118B3E4.pf,C:\Windows\Prefetch\BRAVE.EXE-3118B3E4.pf,2024-11-16 00:36:46,2024-11-17 14:10:57,2024-11-17 14:10:57
BRAVEBROWSERSETUP-BRV010.EXE-209643A2.pf,C:\Windows\Prefetch\BRAVEBROWSERSETUP-BRV010.EXE-209643A2.pf,2024-11-14 23:42:20,2024-11-15 11:04:50,2024-11-15 11:04:50
BRAVEUPDATE.EXE-023AA87E.pf,C:\Windows\Prefetch\BRAVEUPDATE.EXE-023AA87E.pf,2024-11-15 11:04:52,2024-11-15 11:04:52,2024-11-15 11:04:52
BRAVEUPDATE.EXE-5C10F0A3.pf,C:\Windows\Prefetch\BRAVEUPDATE.EXE-5C10F0A3.pf,2024-11-15 11:04:50,2024-11-15 11:04:50,2024-11-15 11:04:50
BRAVEUPDATE.EXE-71F336A7.pf,C:\Windows\Prefetch\BRAVEUPDATE.EXE-71F336A7.pf,2024-11-14 23:42:19,2024-11-17 13:49:27,2024-11-17 13:49:27
BRAVEUPDATE.EXE-A812CDBE.pf,C:\Windows\Prefetch\BRAVEUPDATE.EXE-A812CDBE.pf,2024-11-14 23:42:20,2024-11-14 23:42:20,2024-11-14 23:42:20
BRAVEUPDATE.EXE-D27E0B97.pf,C:\Windows\Prefetch\BRAVEUPDATE.EXE-D27E0B97.pf,2024-11-14 23:42:24,2024-11-14 23:42:24,2024-11-14 23:42:24
